Punto,Lat,Lon,,
CHINAMPA DEL AHORCADO,19.27756194,-99.08184306,19.2775-99.0818,3
CHINAMPA LAS CATRINAS,19.27756194,-99.08184306,19.2775-99.0818,4
CHOMWINGS,19.44618883,-99.15753183,19.4461-99.1575,1
CHUCHO CHELAS,19.46866015,-99.07144746,19.4686-99.0714,1
CHUCHO CHELAS MIRAMONTES,19.30784084,-99.12391862,19.3078-99.1239,1
CIGARPOINT,19.41404084,-99.16452719,19.4140-99.1645,1
CLUB DE NUTRICION,19.40967321,-99.05934426,19.4096-99.0593,1
COCINA ECONOMICA LOS NARANJOS,19.29955076,-99.10633646,19.2995-99.1063,1
COCKTAIL BAR DON CARAJO,19.38550075,-99.17651202,19.3855-99.1765,1
COLITAS BAR,19.48614597,-99.15396442,19.4861-99.1539,1
COMBATE PULQUERIA,19.32866214,-99.15979033,19.3286-99.1597,1
COMERCIALES RESTAURANTS TORS& BAR,19.39011783,-99.15323145,19.3901-99.1532,1
CONTRABARRA,19.43295122,-99.20858786,19.4329-99.2085,1
CRAZY POTIONS,19.43389802,-99.14100824,19.4338-99.1410,1
CREPAS Y CHILATE,19.30942769,-99.15387642,19.3094-99.1538,1
CROOKED HORNS,19.42822661,-99.15536604,19.4282-99.1553,1
CRUDANDERO BAR Y SNAKS,19.3909018,-99.14480312,19.3909-99.1448,1
CUCAPA BREWING CO,19.36721028,-99.18149735,19.3672-99.1814,1
CUEVA DE LOBOS KARAOKE BAS,19.28223913,-99.00937313,19.2822-99.0093,1
DA KOMBI BEER,19.38384326,-99.1463503,19.3838-99.1463,1
DEBARBAS,19.39082337,-99.17688569,19.3908-99.1768,1
DELETE SOULS COCKTAIL THE QUE,19.4120406,-99.1735771,19.4120-99.1735,1
DESAYUNADOR HERBALAY,19.34248233,-99.11672404,19.3424-99.1167,1
DESAYUNOS HERBALIFE,19.39972256,-99.06019067,19.3997-99.0601,1
DICHARACHERO,19.26488593,-99.17177425,19.2648-99.1717,1
DISCOTECA ARKEID,19.41149231,-99.16252504,19.4114-99.1625,1
DKDAS RESTAURANT BAR KAROAKE,19.39237916,-99.14734098,19.3923-99.1473,1
DO HA SAN ANGEL BAR,19.34643666,-99.18803707,19.3464-99.1880,1
DOBERMAN BAR CENTRO,19.43389743,-99.13911935,19.4338-99.1391,3
DOBLE MALTA,19.37047874,-99.17538339,19.3704-99.1753,1
DOGS BAR,19.38922332,-99.26135633,19.3892-99.2613,1
DONKEY Y PORK SPORT BAR,19.39871393,-99.08315083,19.3987-99.0831,1
DONKEY Y PORK SPORTS,19.38865302,-99.07571422,19.3886-99.0757,1
DUKES BEEF & BEER,19.40216941,-99.14338294,19.4021-99.1433,1
EL 152,19.40878679,-99.17620357,19.4087-99.1762,1
EL APRECIO ROKC PLACE,19.45629045,-99.16695779,19.4562-99.1669,1
EL ASERRIN,19.41204951,-99.17319951,19.4120-99.1731,1
EL BALUARTE DE ORO,19.40898431,-99.12608351,19.4089-99.1260,1
EL BOTELLON,19.4101165,-99.1749923,19.4101-99.1749,1
EL BUEN DEL PUERCO RESTAURANTE BAR,19.45090754,-99.15915003,19.4509-99.1591,1
EL BUEN TRAGO,19.4011149,-99.16248346,19.4011-99.1624,1
EL CANTON,19.28532685,-99.03643522,19.2853-99.0364,1
EL CAPITOLIO,19.37398807,-99.17960832,19.3739-99.1796,1
EL CARLINO,19.40761817,-99.18888489,19.4076-99.1888,1
EL CHELODROMO,19.39076934,-99.08587406,19.3907-99.0858,1
EL CLUB RODANTE,19.393185,-99.08942531,19.3931-99.0894,1
EL DEPOSITO,19.29633646,-99.13313185,19.2963-99.1331,1
EL DEPOSITO HERMOSILLO,19.40195139,-99.16966895,19.4019-99.1696,1
EL DEPOSITO NAPOLES,19.42690784,-99.16001165,19.4269-99.1600,1
EL DEP”SITO WORDL BEER STORE,19.42700688,-99.1362037,19.4270-99.1362,2
EL DESESTRES,19.40364198,-99.13745205,19.4036-99.1374,1
EL DESESTREZ MICHELADAS,19.34234756,-99.28176846,19.3423-99.2817,1
EL FOCO LOCO,19.39943636,-99.0976356,19.3994-99.0976,1
EL FRONTON 1946,19.35229756,-99.16285746,19.3522-99.1628,1
EL GALLO CERVECERO,19.41260636,-99.1666451,19.4126-99.1666,1
EL GARAGE,19.38797704,-99.20164095,19.3879-99.2016,1
EL HIJO DEL CUERVO,19.34973309,-99.16402071,19.3497-99.1640,1
EL HIJO DESOBEDIENTE,19.42769099,-99.17034343,19.4276-99.1703,1
EL JAIBOL,19.34285386,-99.18936686,19.3428-99.1893,1
EL MAL QUERIDO,19.47297007,-99.18943306,19.4729-99.1894,1
EL MERENDERO DE BORCA,19.35263972,-99.28442353,19.3526-99.2844,1
EL MERENDERO DE SAN MATEO,19.35090868,-99.14755557,19.3509-99.1475,1
EL MESON DE LA INDEPENDENCIA,19.3802337,-99.14333125,19.3802-99.1433,1
EL MEXICANITO,19.35917972,-99.13532993,19.3591-99.1353,1
EL MITOTE,19.41415037,-99.16523683,19.4141-99.1652,1
EL MONASTERIO DE LAS CERVEZAS,19.44716942,-99.18236303,19.4471-99.1823,1
EL NERVION,19.3914959,-99.07410223,19.3914-99.0741,1
EL PADRINO,19.29988939,-99.10463635,19.2998-99.1046,1
EL PUNTO,19.44574274,-99.21696602,19.4457-99.2169,1
EL RECREO DE MANZANARES,19.4299715,-99.12627551,19.4299-99.1262,1
EL RIBS CERVECERIA,19.49149366,-99.19628659,19.4914-99.1962,1
EL RINCON BOTANERO,19.21932138,-98.99471226,19.2193-98.9947,1
EL SHEVE DE COAPA,19.28644985,-99.12874943,19.2864-99.1287,1
EL SONORENCE GRILL AND BAR,19.37755074,-99.14791669,19.3775-99.1479,1
EL TAPATIO,19.4363859,-99.15984518,19.4363-99.1598,1
EL TARRO DE COYOACAN,19.34848654,-99.16340232,19.3484-99.1634,1
EL TERCER TIEMPOI,19.40996598,-99.12152528,19.4099-99.1215,1
EL TORITO,19.29955831,-99.10612598,19.2995-99.1061,2
EL TORO,19.35862647,-99.00093292,19.3586-99.0009,1
EL VASO ROJO,19.39151205,-99.16062001,19.3915-99.1606,1
EN VIVO CANTA BAR,19.35802474,-99.27720243,19.3580-99.2772,1
ER SALON ALDO ALCANTARA VIP ES COMO DISCO,19.42478614,-99.16482018,19.4247-99.1648,1
ESSAI,19.40793879,-99.17242071,19.4079-99.1724,1
ESTABLECIMIENTO DE RESTAURANTE BAR LA RESAKA,19.44464969,-99.14529187,19.4446-99.1452,1
EXPENDIO DE PULQUE,19.21081783,-98.97057002,19.2108-98.9705,1
EXPENDIO DE PULQUE LOS ANGELES,19.33567177,-99.21085976,19.3356-99.2108,1
EXPENDIO DE PULQUE LOS PASEOS DE SANTA ANITA,19.3570609,-99.16360213,19.3570-99.1636,1
EXPENDIO DE PULQUE NOMAS NO LLORES,19.27951057,-99.13492264,19.2795-99.1349,1
EXPENDIO DE PULQUE SIN NOMBRE,19.24608298,-99.01721708,19.2460-99.0172,1
EXPENDIO DE PULQUES TE VOLVÕ A VER,19.25322486,-99.01107464,19.2532-99.0110,1
EXPENDIO MALA VIDA,19.41610446,-99.15431973,19.4161-99.1543,1
FE DE CIEGOS BODEGA,19.31039658,-99.10819735,19.3103-99.1081,1
FLOWERS,19.34760656,-99.01452385,19.3476-99.0145,1
FLY BOYS,19.50302436,-99.20521224,19.5030-99.2052,1
FONDA SNAKS LAS MICHES DEL RO,19.36099667,-99.11506171,19.3609-99.1150,1
FORO DE ARTES Y MEDIOS EXPERIMENTALES,19.42774281,-99.16354073,19.4277-99.1635,1
FRICE FRITO BAJO CERO,19.49121057,-99.13359287,19.4912-99.1335,1
FROGS BEER,19.45037104,-99.09503779,19.4503-99.0950,1
FRUTAS LEGUMBRES TEPACHE Y AGUA DE COCO,19.44388812,-99.09999785,19.4438-99.0999,1
GAELUS WINGS,19.30493828,-99.06178297,19.3049-99.0617,1
GARAGE,19.40878679,-99.17620357,19.4087-99.1762,2
GARAGE MODELO,19.44951616,-99.16200774,19.4495-99.1620,1
HAMBURGUESAS Y MICHES,19.33002214,-99.25247968,19.3300-99.2524,1
HARD BAR,19.41567094,-99.06880092,19.4156-99.0688,1
HBLUE,19.41496554,-99.09482894,19.4149-99.0948,1
HERBALIFE,19.40969277,-99.05947097,19.4096-99.0594,1
HERBALIFE CLUB LAS MARIPOSAS,19.2938151,-99.0145596,19.2938-99.0145,1
HOP 4,19.43790127,-99.19507053,19.4379-99.1950,1
HOP THE BEER EXPERIENCE,19.38695841,-99.15682481,19.3869-99.1568,1
HUNTERS,19.48543743,-99.18989461,19.4854-99.1898,1
ICHNIU PULQUERIA BAR,19.44665399,-99.15587164,19.4466-99.1558,1
IDARIS DOMI,19.47297007,-99.18943306,19.4729-99.1894,2
INCANTATUM,19.40500272,-99.18464908,19.4050-99.1846,1
JACK VILLA,19.29493372,-99.07340523,19.2949-99.0734,1
JAIBOL,19.30218219,-99.12485356,19.3021-99.1248,1
JALAPE—OS POP. RESTAURANTE BAR,19.42720253,-99.1645885,19.4272-99.1645,2
JALEO BAR DE TAPAS,19.42998228,-99.19744773,19.4299-99.1974,1
JARDIN CERVECERO BAR,19.28490597,-99.17582211,19.2849-99.1758,1
JUANA LA LOCA,19.41722713,-99.16918526,19.4172-99.1691,1
JUGOS DE PULQUE Y ACCESORIOS,19.32839407,-99.10114749,19.3283-99.1011,1
JULYS BEER,19.4423398,-99.11178984,19.4423-99.1117,1
JUPITER CERVECERIA,19.3487148,-99.16114052,19.3487-99.1611,1
JUZ NATUREL,19.41546252,-99.15103466,19.4154-99.1510,1
KARAOKE BAR BEER GARDEN ROMA,19.42202105,-99.16566264,19.4220-99.1656,1
KARAOKE ECLIPSE,19.32897411,-99.25395166,19.3289-99.2539,1
KARAOKE MELODIKA,19.42418498,-99.16610305,19.4241-99.1661,1
KENNEDY SOCIAL ROOM,19.4318669,-99.19812965,19.4318-99.1981,1
KENZO ROOM,19.340321,-99.06454144,19.3403-99.0645,1
KING S PUB,19.41159683,-99.17217732,19.4115-99.1721,1
KINGS PUB,19.33843686,-99.19315514,19.3384-99.1931,1
KINKY BAR,19.42714216,-99.16617805,19.4271-99.1661,1
KSB KARAOKE SUSHI BAR,19.32194025,-99.09523479,19.3219-99.0952,1
LA  BOTANA,19.46498108,-99.16999803,19.4649-99.1699,1
LA B.T.K,19.4665195,-99.18653305,19.4665-99.1865,1
LA BELLA CANDE,19.42761693,-99.10912605,19.4276-99.1091,1
LA BELLA CAROLINA,19.40941961,-99.1197784,19.4094-99.1197,1
LA BOTANA. SANACKS BEER,19.41673214,-99.11779804,19.4167-99.1177,1
LA BOTICA BAR  CARLOS ALBERTO JIMENEZMAZO,19.30298374,-99.11282397,19.3029-99.1128,1
LA BTK,19.43516062,-99.20132056,19.4351-99.2013,1
LA CAMINERARESTAURANTE,19.35032673,-99.21840598,19.3503-99.2184,1
LA CANTINA LA TERCERA RONDA,19.43186971,-99.19816078,19.4318-99.1981,2
LA CARIBE—A,19.43144493,-99.14977573,19.4314-99.1497,1
LA CASA DEL ABOGADO,19.42077779,-99.15066414,19.4207-99.1506,1
LA CASONA DE DO—A INES,19.42697702,-99.13575342,19.4269-99.1357,1
LA CATEDRAL DEL PULQUE,19.41842024,-99.1380223,19.4184-99.1380,1
LA CAVA DEL POMO,19.41435766,-99.09305595,19.4143-99.0930,1
LA CELESTINA,19.34855514,-99.1619489,19.3485-99.1619,1
LA CELULA,19.44713027,-99.15869865,19.4471-99.1586,1
LA CERVECERÕA,19.37732277,-99.16071081,19.3773-99.1607,1
LA CERVECERIA DE BARRIO,19.43277598,-99.1832868,19.4327-99.1832,1
LA CERVECERIA DE BARRIO,19.41113391,-99.17692541,19.4111-99.1769,1
LA CERVECERIA DE BARRIO,19.42786018,-99.17036511,19.4278-99.1703,1
LA CERVECERIA DE BARRIO,19.36755387,-99.25977103,19.3675-99.2597,1
LA CERVECERIA DE BARRIO,19.43490099,-99.14567778,19.4349-99.1456,1
LA CERVECERIA DE BARRIO,19.4140781,-99.16433739,19.4140-99.1643,1
LA CERVECERIA DE BARRIO,19.41817776,-99.15916259,19.4181-99.1591,1
LA CERVECERIA DE BARRIO,19.38218054,-99.08319639,19.3821-99.0831,1
LA CERVECERIA DE BARRIO,19.31568997,-99.12465294,19.3156-99.1246,1
LA CERVECERIA DE BARRIO,19.44617182,-99.15189148,19.4461-99.1518,1
LA CERVECERIA DE BARRIO,19.41962363,-99.16700388,19.4196-99.1670,1
LA CERVECERIA DE BARRIO,19.36841267,-99.18088356,19.3684-99.1808,1
LA CERVECERIA DE BARRIO,19.34132285,-99.19118196,19.3413-99.1911,1
LA CERVECERIA DE BARRIO,19.42977084,-99.19705637,19.4297-99.1970,1
LA CERVECERIA DE BARRIO,19.35944992,-99.27906668,19.3594-99.2790,1
LA CERVECERIA DE BARRIO,19.30272148,-99.18989476,19.3027-99.1898,1
LA CERVECERIA DE BARRIO,19.41750642,-99.12983108,19.4175-99.1298,1
LA CERVECERIA DE BARRIO,19.48697504,-99.15134658,19.4869-99.1513,1
LA CERVECERIA DE BARRIO,19.36237259,-99.27520041,19.3623-99.2752,1
LA CERVECERIA DE BARRIO,19.4845644,-99.13357333,19.4845-99.1335,1
LA CERVECERÕA DE BARRIO,19.34967689,-99.16380138,19.3496-99.1638,1
LA CERVECERIA DEL BARRIO,19.41229269,-99.17214701,19.4122-99.1721,1
LA CHAVELA,19.3692049,-99.18024532,19.3692-99.1802,1
LA CHELA,19.39113246,-99.17301462,19.3911-99.1730,1
LA CHELADA,19.36982327,-99.18423456,19.3698-99.1842,1
LA CHELADA,19.42899788,-99.15936121,19.4289-99.1593,1
LA CHELERIA,19.46967754,-99.14523362,19.4696-99.1452,1
LA CHELOCA,19.31482816,-99.15214775,19.3148-99.1521,1
LA CHEVE CHEVE,19.32559027,-99.12456983,19.3255-99.1245,1
LA CHOPERIA,19.31224563,-99.06969515,19.3122-99.0696,1
LA CHULADA,19.42698494,-99.13518746,19.4269-99.1351,1
LA COBACCHITA DE LA REFORMA,19.40190149,-99.14595061,19.4019-99.1459,1
LA COSA NOSTRA DE LA CASONA ARGENTINA,19.42387129,-99.15400227,19.4238-99.1540,1
LA COYOACANA,19.3489809,-99.16136554,19.3489-99.1613,1
LA DEPORTIVA MX,19.38496594,-99.15636466,19.3849-99.1563,1
LA DESTILERIA,19.42903525,-99.16222342,19.4290-99.1622,1
LA DESTILERIA,19.4384616,-99.20769376,19.4384-99.2076,1
LA DESTILERIA SANTA FE,19.36115097,-99.27913075,19.3611-99.2791,1
LA GAYTA PUSSY BAR,19.42699099,-99.16597125,19.4269-99.1659,1
LA GAYTA PUSSY BAR,19.42699099,-99.16597125,19.4269-99.1659,2
LA GLORIA BEBIDAS,19.34572448,-99.07314796,19.3457-99.0731,1
LA GRACIELA TALLER DE CERVEZA,19.41479182,-99.15896559,19.4147-99.1589,1
LA HIJA DE LA COLONIA,19.38712042,-99.06706661,19.3871-99.0670,1
LA HIJA DE LOS APACHES,19.42379079,-99.1525009,19.4237-99.1525,1
LA HIJA DEL TRIUNFO,19.38802015,-99.03466598,19.3880-99.0346,1
LA KURDA RESTAURANTE BAR,19.29171641,-99.21701818,19.2917-99.2170,2
LA MALQUERIDA,19.44698715,-99.15797525,19.4469-99.1579,2
LA MANSION DEL BOHEMIO OFICIAL,19.27579265,-99.00599472,19.2757-99.0059,1
LA MENTIROSA,19.31890378,-99.13036372,19.3189-99.1303,1
LA MESA DEL RINCON,19.2324094,-99.19227052,19.2324-99.1922,1
LA MODERNA SEVILLANA,19.4186721,-99.14454316,19.4186-99.1445,1
LA NATIVA,19.43389743,-99.13911935,19.4338-99.1391,4
LA NUEVA EXCELENCIA,19.43737604,-99.13807783,19.4373-99.1380,2
LA OFICINA DE JUVE,19.42493222,-99.13955421,19.4249-99.1395,1
LA PARADA 72,19.44092189,-99.08922731,19.4409-99.0892,1
LA PERDIDA CERVECERIA,19.3988166,-99.15125047,19.3988-99.1512,1
LA PLANTA DE LAS MARAVILLAS,19.23505655,-99.11442457,19.2350-99.1144,1
LA POXERIA,19.41973008,-99.16786016,19.4197-99.1678,1
LA PRINCIPAL,19.41482912,-99.15897479,19.4148-99.1589,1
LA PRINCIPAL DE BUENAVISTA,19.30320364,-99.24746132,19.3032-99.2474,1
LA PUERTA DE ALCAL¡,19.4318669,-99.19812965,19.4318-99.1981,3
LA PURI,19.43736672,-99.13901173,19.4373-99.1390,1
LA QUE MANDA CENTRO,19.43351483,-99.13718325,19.4335-99.1371,1
LA REFORMA DE LA CARAMBOLA,19.4693232,-99.16533775,19.4693-99.1653,1
LA REINA DE SAN PABLO,19.42592963,-99.12883711,19.4259-99.1288,1
LA REINA XOCHITL,19.41573787,-99.09184159,19.4157-99.0918,1
LA REYNA XOCHITL,19.45241575,-99.15691785,19.4524-99.1569,1
LA ROMERIA,19.41572609,-99.15526441,19.4157-99.1552,1
LA RUTA DEL BIKER,19.42785033,-99.10900164,19.4278-99.1090,1
LA SAETA,19.29955831,-99.10612598,19.2995-99.1061,3
LA SUPERIOR,19.4464099,-99.14734145,19.4464-99.1473,2
LA TABERNA,19.44492977,-99.12563314,19.4449-99.1256,1
LA TREGUA RESTAURANTE CERVECERIA,19.36935082,-99.17658149,19.3693-99.1765,1
LA TUBERIA SNACK Y BEER,19.37149156,-99.1365714,19.3714-99.1365,1
LA VANIDOSA,19.33547445,-99.17705032,19.3354-99.1770,1
LA VIKINGA,19.42910233,-99.14213667,19.4291-99.1421,1
LAS 4 MILPAS,19.3856191,-99.21520119,19.3856-99.2152,1
LAS ALITAS DE LOSSANTOS,19.29268203,-99.13602275,19.2926-99.1360,1
LAS ALITAS DEL PATRON,19.47546099,-99.20020923,19.4754-99.2002,1
LAS ALITAS DEL RELOJ,19.35212901,-99.02443502,19.3521-99.0244,1
LAS AZTECANAS,19.40965187,-99.08967823,19.4096-99.0896,1
LAS CATINAS,19.25001702,-99.10099443,19.2500-99.1009,1
LAS CHELUKAS,19.32598137,-99.24605548,19.3259-99.2460,1
LAS MEZCLADAS,19.38457015,-99.09386952,19.3845-99.0938,1
LAS MICHELOCADAS,19.35301385,-99.02692675,19.3530-99.0269,1
LAS PATRONAS,19.47105968,-99.12945817,19.4710-99.1294,1
LEMON THIRTEEN BAR,19.42472957,-99.16529728,19.4247-99.1652,2
LIBRE BAR,19.35806341,-99.02610387,19.3580-99.0261,1
LITROS Y METROS,19.37844526,-99.09580302,19.3784-99.0958,1
LOFT,19.41255181,-99.17203057,19.4125-99.1720,1
LONCHERIA LOS COSTEROS,19.45685736,-99.19001032,19.4568-99.1900,1
LONCHERIA PARIS DE NOCHE,19.45699358,-99.19001055,19.4569-99.1900,1
LOS 3 GALLOS RESTAURANTE BAR,19.42367278,-99.16399532,19.4236-99.1639,1
LOS ALEBRIJES DEL SUR,19.29390324,-99.06140926,19.2939-99.0614,1
LOS ARCOS,19.37898844,-99.09391228,19.3789-99.0939,1
LOS COSTILLARES,19.44948629,-99.19515784,19.4494-99.1951,1
LOS FAMOSOS DE LA FAMA,19.25788472,-99.17366691,19.2578-99.1736,1
LOS INSURGENTES,19.41902359,-99.16424242,19.4190-99.1642,1
LOS MURALES,19.32652068,-99.17348272,19.3265-99.1734,1
LOS NADIES RESTAURANTE BAR,19.25902684,-99.10571388,19.2590-99.1057,1
LOS TARROS DE SAN RAFAEL,19.43691127,-99.15710851,19.4369-99.1571,1
LOS TOCAYOS,19.44612005,-99.12930336,19.4461-99.1293,1
LOS UNIVERSITARIOS UNICHAMPS,19.39220583,-99.16249133,19.3922-99.1624,1
LOUNGE Y GRILL STUDIO TACO,19.34057417,-99.13322722,19.3405-99.1332,1
LUPULO IMPERIAL,19.30994605,-99.2233632,19.3099-99.2233,1
M G VINO Y CERVEZA,19.3923227,-99.17857303,19.3923-99.1785,1
MACHO VIP DANCE BAR,19.42612059,-99.16553191,19.4261-99.1655,1
MAGIC BAR,19.44173274,-99.09826816,19.4417-99.0982,1
MAMARUMBA,19.33843686,-99.19315514,19.3384-99.1931,2
MARIA PISTOLAS,19.42537575,-99.13913931,19.4253-99.1391,1
MAXINE,19.34299075,-99.18931886,19.3429-99.1893,1
MC CARTHYS IRISH PUB,19.36809741,-99.25992676,19.3680-99.2599,2
MERENDERIA MARIANO,19.34430369,-99.03468442,19.3443-99.0346,1
MERENDERO,19.43881638,-99.09978597,19.4388-99.0997,1
MERENDERO CERVANTES,19.13461342,-99.17337209,19.1346-99.1733,1
MERENDERO LA REYNA,19.42537575,-99.13913931,19.4253-99.1391,2
METAL BROTHERS BAR,19.41744495,-99.15446411,19.4174-99.1544,1
METROPOLITANA CERVECERA,19.401601,-99.14600039,19.4016-99.1460,1
MEZCAL ENVIDIOSO,19.42288977,-99.12745684,19.4228-99.1274,1
MEZCALERIA LA BOTICA,19.42700983,-99.16610961,19.4270-99.1661,1
MEZCALERÕA LA BOTICA,19.41484957,-99.15897984,19.4148-99.1589,2
MEZCALERIA MUNDANA,19.43631309,-99.14616912,19.4363-99.1461,1
MI MOJITO,19.4353423,-99.17051631,19.4353-99.1705,4
MICHEBOTANAS ANDREA,19.22134037,-99.20367011,19.2213-99.2036,1
MICHELADAS,19.32438825,-99.05967783,19.3243-99.0596,1
MICHELADAS,19.37139585,-99.04836175,19.3713-99.0483,1
MICHELADAS,19.35220395,-99.02441991,19.3522-99.0244,1
MICHELADAS,19.35203546,-99.00043689,19.3520-99.0004,1
MICHELADAS,19.34221783,-99.05398759,19.3422-99.0539,1
MICHEL-ADAS,19.42761543,-99.16382395,19.4276-99.1638,1
MICHELADAS DON CANGREJO,19.19913091,-99.10477067,19.1991-99.1047,1
MICHELADAS DREAMS,19.47133267,-99.15895617,19.4713-99.1589,1
MICHELADAS EL GUERO,19.44495049,-99.12872356,19.4449-99.1287,1
MICHELADAS EL JR.,19.25386739,-99.00927556,19.2538-99.0092,1
MICHELADAS EL SANTUARIO,19.22447637,-99.20073029,19.2244-99.2007,1
MICHELADAS EL XITLE,19.2354086,-99.2179382,19.2354-99.2179,1
MICHELADAS HOUSE,19.2994857,-99.07180994,19.2994-99.0718,1
MICHELADAS LA BODEGA,19.44506766,-99.08194797,19.4450-99.0819,1
MICHELADAS LA FREGADA,19.47941315,-99.18844528,19.4794-99.1884,1
MICHELADAS LA MANZANA DE LA DISCORDIA,19.44318994,-99.12856848,19.4431-99.1285,1
MICHELADAS LA MONERA,19.2324094,-99.19227052,19.2324-99.1922,2
MICHELADAS LAS MAMALONAS,19.34233824,-99.10219691,19.3423-99.1021,1
MICHELADAS LAS MESCLADAS,19.39225315,-99.08316912,19.3922-99.0831,1
MICHELADAS LOS TARROS,19.26926129,-99.21601834,19.2692-99.2160,1
MICHELADAS MONKY,19.47895533,-99.14700023,19.4789-99.1470,1
MICHELADAS NIVEL,19.44442391,-99.09189399,19.4444-99.0918,1
MICHELADAS SIN NOMBRE,19.44517261,-99.12735872,19.4451-99.1273,1
MICHELADAS Y ALITAS,19.36070655,-99.28341653,19.3607-99.2834,1
MICHELADAS Y BEBIDAS PREPARADAS,19.34984058,-99.02089508,19.3498-99.0208,1
MICHELADAS Y BOTANAS LA 34,19.37286394,-99.20703711,19.3728-99.2070,1
MICHELADAS Y CHICHARRONES,19.37255182,-99.00796524,19.3725-99.0079,1
MICHELADITAS,19.42769218,-99.12071718,19.4276-99.1207,1
MICHELANDIA,19.35127032,-99.05196754,19.3512-99.0519,1
MICHELANDIA,19.42063293,-99.08858283,19.4206-99.0885,1
MIMCELADAS LALO,19.33668342,-99.02522151,19.3366-99.0252,1
MIXTAS CERVEZAS Y SALCHICHAS ARTESANALES,19.34919761,-99.18953873,19.3491-99.1895,1
MONASTERIO DE LAS CERVEZAS,19.50238746,-99.1762847,19.5023-99.1762,1
MR.BEERS,19.31813222,-99.06846588,19.3181-99.0684,1
MUCHIES BAR,19.36809741,-99.25992676,19.3680-99.2599,3
MURALITOS VIP,19.32629699,-99.17345664,19.3262-99.1734,1
NABUCCOS PUB GRILL,19.38747942,-99.17730834,19.3874-99.1773,1
NEGRITO CERVEZA ALITAS Y COSTILLAS,19.472686,-99.21207386,19.4726-99.2120,1
NOES BEAR CERVECERIA,19.30499229,-99.1121948,19.3049-99.1121,1
OFELIA BOTANERO,19.43227717,-99.2029149,19.4322-99.2029,1
OFICINA AUXILIAR DEL TERRAZA 5TA BAR,19.4345453,-99.14369463,19.4345-99.1436,1
OFICINA DE COBRANZA DE BANCO AZTECA,19.48970694,-99.18216986,19.4897-99.1821,1
OSTIONERIA VILLA DEL MAR,19.45773996,-99.1893122,19.4577-99.1893,1
PANCHOS BAR GYM,19.42367034,-99.16400536,19.4236-99.1640,1
PARANOIC VISITION UTA,19.44425003,-99.15416903,19.4442-99.1541,1
PARQUE PATOLLI MERENDERO,19.37799349,-99.06033269,19.3779-99.0603,1
PARRILLA DF,19.42271081,-99.10230528,19.4227-99.1023,1
PATA NEGRA,19.41244075,-99.17249079,19.4124-99.1724,1
PE—A EL MESON DE LA GUITARRA,19.37284793,-99.17430177,19.3728-99.1743,1
PERROS Y BURROS,19.50302436,-99.20521224,19.5030-99.2052,2
PHOENIX,19.41246609,-99.17287377,19.4124-99.1728,1
PIZZA RODIZIO,19.41168664,-99.17584745,19.4116-99.1758,1
PIZZAS DEL PERRO NEGRO,19.40932173,-99.19050569,19.4093-99.1905,1
POLI JARDAS,19.30499229,-99.1121948,19.3049-99.1121,2
PREFERE BAR,19.49285282,-99.13366876,19.4928-99.1336,1
PREPARACION DE BOTANAS Y POSTRES MARY,19.40240967,-99.12311474,19.4024-99.1231,1
PREPARACION DE CURADOS MAYA HUEL,19.2944887,-99.04603659,19.2944-99.0460,1
PREPARACION DE MICHELADAS SI NOMBRE,19.29506903,-99.03051019,19.2950-99.0305,1
PRINCIPIA TATING ROOM,19.3920214,-99.17185811,19.3920-99.1718,1
PROTEIN BAR,19.29156318,-99.0713514,19.2915-99.0713,1
PROTEIN BAR,19.37179143,-99.21760556,19.3717-99.2176,1
PUB VENTA DE ALITAS Y MICHELADAS,19.34844582,-99.06106924,19.3484-99.0610,1
PUERTO CAPITAL,19.36930938,-99.18021134,19.3693-99.1802,1
PUGS CON GUSTO CANTIL,19.34701427,-99.16365197,19.3470-99.1636,1
PULQUE AZTECA Y COMIDA MEXICANA,19.34980387,-99.00743425,19.3498-99.0074,1
PULQUE EL SABROSO,19.34293819,-99.27425475,19.3429-99.2742,1
PULQUE LOS ARENALES,19.23455323,-99.1841551,19.2345-99.1841,1
PULQUE SIN NOMBRES,19.26133303,-99.13012303,19.2613-99.1301,1
PULQUE SONIA,19.23863609,-99.23493566,19.2386-99.2349,1
PULQUE Y CONEJO,19.31660312,-99.25711761,19.3166-99.2571,1
PULQUE YOKO,19.29603906,-99.05679345,19.2960-99.0567,1
PULQUERIA,19.29688267,-99.0109536,19.2968-99.0109,1
PULQUERIA,19.32341714,-99.04223883,19.3234-99.0422,1
PULQUERIA,19.32484324,-99.04191785,19.3248-99.0419,1
PULQUERIA,19.30184299,-99.14355627,19.3018-99.1435,1
PULQUERIA,19.33890203,-98.99695145,19.3389-98.9969,1
PULQUERIA,19.36222964,-99.20497803,19.3622-99.2049,1
PULQUERIA,19.35301703,-99.02686039,19.3530-99.0268,1
PULQUERIA,19.56910719,-99.13223309,19.5691-99.1322,1
PULQUERIA DON ANDRES,19.33111388,-99.27411733,19.3311-99.2741,1
PULQUERÕA EL BARRILITO,19.2538118,-99.01021009,19.2538-99.0102,1
PULQUERÕA EL EDEN,19.29575694,-98.98007083,19.2957-98.9800,1
PULQUERIA EL ELIXIR DE LOS DIOSES,19.44188323,-99.16121988,19.4418-99.1612,1
PULQUERIA EL LOTE BALDIO,19.30871149,-99.07589002,19.3087-99.0758,1
