Establecimiento,Lat,Lon
FERREPLOMERIA MUNDIAL AUDITORIO,19.69317908,-101.1937412
FERRERIA SALVEL,19.76390112,-101.1099299
"FERRESOL, FERRETERIA.",19.72028711,-101.1909991
FERRETERA AGUILAR,19.64986628,-101.2422875
FERRETERA INDUSTRIAL URREA,19.72645039,-101.1414985
FERRETERA MERCADO,19.71621507,-101.215805
FERRETERA Y TLAPALERIA SANDOVAL,19.73668778,-101.1662863
FERRETERÍA,19.73104092,-101.1829362
FERRETERIA,19.67271595,-101.393347
FERRETERIA,19.72232437,-101.2094138
FERRETERIA,19.71810356,-101.1630192
FERRETERIA,19.67437747,-101.3915396
FERRETERIA,19.70480836,-101.197037
FERRETERIA  FERREMATERIALES PRECIO BODEGA AUXILIAR,19.71307528,-101.1438774
FERRETERÍA 18 DE MAYO,19.70606437,-101.1560881
FERRETERIA 200 0,19.66479517,-101.184633
FERRETERÍA ACEMEX.,19.73613149,-101.2062018
FERRETERIA AGRAYS,19.73146492,-101.1990573
FERRETERIA ALAN,19.7436728,-101.2020316
FERRETERIA ALEX,19.72637413,-101.2318418
FERRETERÍA ALEXIS,19.7229952,-101.2308706
FERRETERIA ALMANZA,19.70835055,-101.2073269
FERRETERÍA ARIAS,19.67492571,-101.2098924
FERRETERIA ARQCASA,19.67442755,-101.2207952
FERRETERÍA ARY,19.69957678,-101.2745857
FERRETERÍA BIRLOS Y TORNILLOS,19.6712265,-101.2009066
FERRETERIA BOEP,19.70242846,-101.1485942
FERRETERIA BOYZO,19.70206031,-101.1595462
FERRETERIA CASA PRADO,19.689349,-101.1839606
FERRETERIA CASTILLO,19.67215036,-101.1896879
FERRETERIA CHAGA,19.68984813,-101.1493224
FERRETERIA CHALU,19.70979845,-101.1740483
FERRETERIA CHAMER,19.67560515,-101.308725
FERRETERIA CHON,19.71657082,-101.1910556
FERRETERÍA CHUCHITO,19.7221319,-101.1670077
FERRETERÍA CIRCUITO,19.69946721,-101.22886
FERRETERÍA COAPA,19.69514951,-101.2502908
FERRETERIA CODI,19.67695729,-101.3082079
FERRETERÍA COMERCIAL,19.70671833,-101.2021104
FERRETERIA CONSTRUCTODO,19.67356149,-101.2181974
FERRETERÍA CONSTRUMART,19.72527091,-101.1892574
FERRETERIA CORONA,19.70667185,-101.1509895
FERRETERIA CORREA,19.68657375,-101.1921402
FERRETERIA CORSAND,19.70950791,-101.1543441
FERRETERÍA CORTES,19.69769778,-101.2535786
FERRETERIA COSMOS,19.68447842,-101.2179025
FERRETERIA COSS,19.67657941,-101.2272203
FERRETERIA CROSS,19.68239496,-101.2157027
FERRETERIA DE CRISTO,19.67433452,-101.3910624
FERRETERÍA DE OCCIDENTE,19.69004807,-101.2259691
FERRETERÍA DEL ALBA,19.74119513,-101.2005047
