Establecimiento,Lat,Lon
UNIVERSIDAD TECMILENIO CAMPOS SAN NICOLAS 502,25.743,-100.2832631
UNIVERSIDAD TECMILENIO CAMPUS GUADALUPE,25.6575,-100.2079352
UNIVERSIDAD TECNOLOGICA,25.6483,-100.0850714
UNIVERSIDAD TECNOLOGICA CADEREYTA,25.6502,-100.1080638
UNIVERSIDAD TECNOLOGICA CADEREYTA EXTENSION JUAREZ,25.6485,-100.095676
UNIVERSIDAD TECNOLOGICA DE MÉXICO,25.7262,-100.3812235
UNIVERSIDAD TECNOLOGICA DE SANTA CATARINA,25.6924,-100.5107633
UNIVERSIDAD VALLE CONTINENTAL,25.6972,-100.3536233
UNIVERSIDAD VALLE CONTINENTAL,25.6712,-100.3388807
UNIVERSIDAD VALLE CONTINENTAL,25.6462,-100.3225499
UP DE GARCÍA,25.8115,-100.5931618
UT CADEREYTA,25.5581,-99.97811807
UT SANTA CATARINA,25.6923,-100.5105742
VETERINARIA BOSQUES,25.7011,-100.5038544
VETERINARIA ZEUS,25.6354,-100.0972817
